name,location,currency,price,participants,organizer,period,invite,tags,logo_link,hackathon_link
Student Mental Health Hackathon,Online,$,0,7,RaahimFarhan,"Jun 23 - Jul 01, 2023",False,"Beginner Friendly, Gaming, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/514/731/datas/medium_square.png,https://student-mental-health.devpost.com
Plastic-Free Rivers with AI towards Sustainability,Online,₹,310000,23,REVA University,"Jun 23 - Jul 09, 2023",False,"Machine Learning/AI, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/513/702/datas/medium_square.png,https://plastic-free-rivers-with-ai.devpost.com
InfoCamp,Online,₹,7000,30,Skill Pulse,"Jun 24 - Jul 01, 2023",False,"Beginner Friendly, Communication, Mobile",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/512/612/datas/medium_square.png,https://info-camp.devpost.com
Hackspree 1.0,Online,$,0,27,The HackSpree Community,"Jun 17 - Jul 15, 2023",False,"Beginner Friendly, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/438/datas/medium_square.png,https://hackspree-1-0.devpost.com
Young Achievers HackMania,Online,$,1000,70,CDS North,"Jun 16 - 30, 2023",False,"Beginner Friendly, Low/No Code, Social Good",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://young-achievers-hack-mania.devpost.com
Speed hackathon,Online,₹,800,42,student,"Jun 15 - Aug 25, 2023",False,"Beginner Friendly, Blockchain, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/737/datas/medium_square.png,https://speed-hackathon.devpost.com
vsHacks 2023,Online,$CAD,4240,84,vsHacks,"Jun 23 - 28, 2023",True,"Beginner Friendly, Design, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/502/309/datas/medium_square.png,https://vshacks2023.devpost.com
NorCalHacks,Online,$,86372,233,NorCalHacks,"Jun 12 - 29, 2023",False,"Beginner Friendly, Social Good, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/507/611/datas/medium_square.png,https://norcalhacks.devpost.com
Coda's AI at Work Challenge,Online,$,40000,529,Coda,"Jun 13 - Jul 17, 2023",False,"Low/No Code, Machine Learning/AI, Productivity",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/501/235/datas/medium_square.png,https://aiatwork.devpost.com
AnimalHack 2023,Online,$,0,39,Binnovative,"Jun 10 - Sep 09, 2023",False,"Beginner Friendly, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/505/615/datas/medium_square.PNG,https://animalhack-2023.devpost.com
TiDB Future App Hackathon 2023,Online,$,36000,809,PingCAP,"Jun 06 - Jul 28, 2023",False,"Beginner Friendly, Machine Learning/AI, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/491/849/datas/medium_square.jpeg,https://tidbhackathon2023.devpost.com
Linera Developer Summer School 2023,Online,$,10000,311,linera,"Jun 23 - Jul 23, 2023",False,"Fintech, Blockchain, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/871/datas/medium_square.png,https://linerasummer2023.devpost.com
Charleston Summer Hacks - Hack for Good (In-Person only),Charleston Tech Center,$,0,32,Charleston Digital Corridor,"Jun 21 - 27, 2023",False,"Beginner Friendly, Machine Learning/AI, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/189/datas/medium_square.png,https://charlestonhacks-hfg.devpost.com
Atlas Madness,Online,$,10000,877,Google Inc,"May 18 - Jul 11, 2023",False,"Databases, DevOps, Productivity",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/439/805/datas/medium_square.png,https://atlasmadness.devpost.com
Ripple CBDC Innovate,Online,$,200000,487,Ripple,"May 15 - Aug 18, 2023",False,"Blockchain, Fintech, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/459/630/datas/medium_square.png,https://ripplecbdc.devpost.com
Fantom Hackathon Q2 2023,Online,$,306000,937,Fantom Foundation,"May 08 - Jul 03, 2023",False,"Beginner Friendly, Blockchain, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/468/993/datas/medium_square.png,https://fantomq22023.devpost.com
MOSA Summer of Code 2023,Online,$,800,51,MCIT Online Student Association,"May 15 - Aug 28, 2023",True,"Beginner Friendly, Open Ended",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://mosa-summer-of-code-2023.devpost.com
Equali-Hack Summer 2023,Online,$,0,9,EqualiHack,"Jun 20 - Jul 04, 2023",False,"Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/462/028/datas/medium_square.png,https://equali-hack-summer-2023.devpost.com
Equali-Hack Summer 2023,Online,$,0,9,EqualiHack,"Jun 20 - Jul 04, 2023",False,"Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/462/028/datas/medium_square.png,https://equali-hack-summer-2023.devpost.com
Young Youth Innovators Summer 2023,Online,$,0,153,Young Youth Innovators,"Jun 20 - Jul 20, 2023",False,"Beginner Friendly, Low/No Code, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/462/068/datas/medium_square.png,https://y-y-innovators-summer-2023.devpost.com
Bunnyshell Stack Jam Hackathon,Online,$,28000,692,bunnyshell,"Apr 14 - Jul 10, 2023",False,"DevOps, Productivity, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/451/242/datas/medium_square.jpg,https://bunnyshell.devpost.com
CSESoc's Flagship Hackathon 2023,"Kensington, Australia",$,3500,1,CSESoc,"Jun 30 - Jul 01, 2023",False,Beginner Friendly,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/522/268/datas/medium_square.png,https://csesoc2023.devpost.com
CTRL Hacks,Online,$CAD,500,1,CTRL Hacks,"Sep 21 - 25, 2023",False,"Beginner Friendly, Education, Low/No Code",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/515/447/datas/medium_square.png,https://ctrl-hacks.devpost.com
GNEC Hackathon,Online,$,0,5,Global NGO Executive Committee,"Jul 23 - Aug 06, 2023",False,"Beginner Friendly, Social Good, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/439/080/datas/medium_square.png,https://gnec-hackathon-2023.devpost.com
Hacktivate 2023,Online,$,100,2,Tech Savvy Youth,"Jul 15 - 22, 2023",False,"Beginner Friendly, Education",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/514/077/datas/medium_square.png,https://hacktivate2023.devpost.com
Girls in Tech : Hack for the Environment,Online,$,6000,9,Girls in Tech,"Jul 26 - Aug 23, 2023",False,"Machine Learning/AI, Robotic Process Automation, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/513/023/datas/medium_square.png,https://hackfortheenvironmentwith-git.devpost.com
Encode Justice NY Hackathon,Brooklyn Public Library,$,0,3,Encode Justice New York,"Jul 01, 2023",False,"Beginner Friendly, Education, Low/No Code",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/489/datas/medium_square.png,https://encode-justice-ny-hackathon.devpost.com
The Robots Are Coming,AMCC,$,75,1,MARZ,"Jul 13, 2023",False,"Beginner Friendly, Machine Learning/AI, Robotic Process Automation",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/054/datas/medium_square.png,https://the-robots-are-coming.devpost.com
HackDearborn,University of Michigan - Dearborn,$,800,4,MLH,"Oct 21 - 22, 2023",False,"Beginner Friendly, Machine Learning/AI, Open Ended",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://hackdearborn2.devpost.com
AI Hack'23,RNSIT  - AI&ML Block,₹,70000,5,Amura Club Dept. Of AIML RNSIT,"Jul 07 - 08, 2023",False,"Databases, Fintech, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/544/datas/medium_square.jpeg,https://ai-hack-23.devpost.com
